"User-ID";"Location";"Age"
"151";"darwin, northern territory, australia";NULL
"160";"almada, n/a, portugal";"20"
"162";"newark, delaware, usa";NULL
"165";"olympia, washington, usa";"62"
"169";"arlington, virginia, usa";NULL
"176";"london, london, united kingdom";"34"
"178";"rexford, new york, usa";"28"
"182";"buitenpost, fryslân, netherlands";"36"
"183";"porto, porto, portugal";"27"
"185";"baton rouge, louisiana, usa";"17"
"190";"wezembeek-oppem, brussels, belgium";"33"
"193";"mumbai, maharashtra, india";"23"
"199";"austin, texas, usa";"38"
"202";"ottawa, ontario, canada";"28"
"204";"turner, oregon, usa";"15"
"207";"west bend, wisconsin, usa";NULL
"212";"manila, n/a, philippines";"21"
"215";"port alberni, british columbia, canada";"20"
"217";"spencer, massachusetts, usa";NULL
"221";"palm beach, florida, usa";"79"
"224";"strafford, missouri, usa";NULL
"226";"new york, new york, usa";NULL
"228";"ann arbor, michigan, usa";"41"
"230";"ny, new york, usa";NULL
"232";"mumbai, maharashtra, india";"16"
"233";"tampere, pirkanmaa, finland";NULL
"236";"s. pasadena, california, usa";NULL
"237";"plymouth, minnesota, usa";"27"
"241";"auburn, alabama, usa";NULL
"242";"neuffen, baden-wuerttemberg, germany";"37"
"243";"arden hills, minnesota, usa";NULL
"244";"college station, texas, usa";NULL
"247";"zografou, athens, greece";"23"
"249";"amsterdam, noord-holland, netherlands";"29"
"250";"minneapolis, minnesota, usa";"25"
"254";"minneapolis, minnesota, usa";"24"
"256";"boston, massachusetts, usa";NULL
"257";"quit, quit, quit";NULL
"269";"aarhus, jylland, denmark";NULL
"272";"walla walla, washington, usa";"20"
"273";"snohomish, washington, usa";NULL
"278";"chicago, illinois, usa";"21"
"280";"yakima, washington, usa";NULL
"289";"tampa, florida, usa";"15"
"291";"ft. collins, colorado, usa";NULL
"300";"newport news, virginia, usa";NULL
"302";"capitola, california, usa";"53"
"306";"boston, massachusetts, usa";NULL
"310";"barcelona, n/a, spain";"26"
"311";"ridderkerk, n/a, netherlands";"34"
"313";"rutherford, new jersey, usa";NULL
"316";"kyle, saskatchewan, canada";"23"
"323";"seattle, washington, usa";"23"
"326";"parkville, missouri, usa";NULL
"327";"dallas, texas, usa";NULL
"332";"lake oswego, oregon, usa";"59"
"334";"jyväskylä, n/a, finland";"27"
"337";"málaga, n/a, spain";"17"
"338";"minneapolis, minnesota, usa";NULL
"339";"tampere, pirkanmaa, finland";"20"
"343";"mesa, arizona, usa";NULL
"345";"columbia, tennessee, usa";"27"
"356";"leesburg, virginia, usa";NULL
"357";"newcastle upon  tyne, england, united kingdom";"29"
"359";"springville, california, usa";NULL
"361";"premià de dalt, barcelona, spain";"25"
"362";"thunder bay, ontario, canada";"63"
"364";"aveiro, beira litoral, portugal";NULL
"367";"culver city, california, usa";"45"
"369";"lenexa, kansas, usa";NULL
"372";"bamberg, bayern, germany";"22"
"376";"fishers, indiana, usa";"35"
"382";"kansas city, kansas, usa";NULL
"383";"carmichael, california, usa";NULL
"384";"bucuresti, n/a, romania";"23"
"387";"charity, missouri, usa";"17"
"388";"nashville, tennessee, usa";"35"
"392";"barcelona, catalunya, spain";"44"
"393";"brighton, east sussex, united kingdom";"24"
"400";"st. louis, missouri, usa";NULL
"406";"madrid, madrid, spain";"37"
"408";"mountain view, california, usa";"17"
"413";"naperville, illinois, usa";"17"
"422";"edmonton, alberta, canada";"23"
"424";"portland, oregon, usa";"29"
"430";"silver spring, maryland, usa";NULL
"431";"ridgway, pennsylvania, usa";"40"
"432";"kansas city, missouri, usa";NULL
"433";"smock, pennsylvania, usa";"48"
"435";"naples, florida, usa";NULL
"438";"rome, lazio, italy";"34"
"439";"tiburon, california, usa";NULL
"440";"brookfield, wisconsin, usa";"16"
"441";"spokane, washington, usa";NULL
"444";"sweet home, oregon, usa";"40"
"446";"chevy chase, dc, usa";NULL
"447";"medford, new jersey, usa";NULL
"453";"charleston, west virginia, usa";NULL
"460";"roma, italy, italy";NULL
"463";"rouse hill, new south wales, australia";"20"
"469";"corona, california, usa";"18"
"472";"livingston, new jersey, usa";NULL
"475";"vancouver, british columbia, canada";"34"
"476";"rome, new york, usa";NULL
"479";"iowa city, iowa, usa";NULL
"483";"shelton, washington, usa";"72"
"486";"portland, oregon, usa";"31"
"487";"houston, texas, usa";NULL
"489";"cape girardeau, missouri, usa";NULL
"493";"manhattan, kansas, usa";"29"
"494";"parry sound, ontario, canada";NULL
"496";"west salem, wisconsin, usa";"51"
"499";"la verne, california, usa";"62"
"500";"san antonio, texas, usa";"17"
"501";"richmond, virginia, usa";NULL
"503";"el centro, california, usa";"40"
"505";"washington, dc, usa";"51"
"507";"dumas, arkansas, usa";NULL
"508";"portland, oregon, usa";"29"
"512";"winter springs, florida, usa";"58"
"513";"savannah, georgia, usa";NULL
"516";"seattle, washington, usa";NULL
"518";"melbourne, victoria, australia";NULL
"523";"bozeman, montana, usa";"19"
"530";"moab, utah, usa";"47"
"537";"davis, california,";NULL
"538";"perryville, missouri, usa";"26"
"542";"fort worth, texas, usa";NULL
"546";"firenze, toscana, italy";"51"
"547";"presque isle, maine, usa";NULL
"552";"united states, california, usa";NULL
"558";"burnaby, ,";NULL
"559";"pulaski, virginia, usa";NULL
"564";"franksville, wisconsin, usa";"15"
"565";"franklin, tennessee, usa";"48"
"566";"springfield, illinois, usa";NULL
"567";"spokane, washington, usa";NULL
"569";"lahore, punjab, pakistan";"28"
"585";"milano, lombardia, italy";NULL
"592";"boston, massachusetts, usa";NULL
"595";"hollywood, florida, usa";"17"
"596";"san francisco, california, usa";"49"
"602";"forest grove, oregon, usa";"23"
"614";"montecassiano, marche, italy";"28"
"618";"providence, rhode island, usa";NULL
"619";"long beach, mississippi, usa";NULL
"620";"toronto, ontario, canada";"45"
"621";"segovia, n/a, spain";"48"
"623";"buenos aires, buenos aires, argentina";NULL
"625";"marseille, provence, france";"41"
"626";"graz, steiermark, austria";"41"
"628";"berlin, berlin, germany";NULL
"634";"d?sseldorf, nordrhein-westfalen, germany";"50"
"638";"san diego, california, usa";"20"
"639";"washington dc, virginia, usa";NULL
"640";"scotch village, nova scotia, canada";NULL
"641";"portland, oregon, usa";NULL
"643";"grenoble, rhone-alpes, france";"23"
"645";"ottawa, ontario, canada";NULL
"649";"san diego, california, usa";NULL
"650";"santa cruz, california, usa";NULL
"651";"interlachen, florida, usa";"26"
"657";"chattanooga, tennessee, usa";NULL
"660";"ny, new york, usa";NULL
"677";"baton rouge, louisiana, usa";"27"
"678";"yabulu, queensland, australia";NULL
"683";"union, illinois, usa";"28"
"685";"stevens point, wisconsin, usa";"21"
"695";"alphen aan den rijn, zuid holland, netherlands";NULL
"698";"palo alto, california, usa";NULL
"701";"mountain view, california, usa";"31"
"705";"asti, piemonte, italy";NULL
"707";"san antonio, texas, usa";NULL
"708";"duluth, minnesota, usa";NULL
"709";"roanoke, virginia, usa";"14"
"711";"oxford, england, united kingdom";"27"
"712";"pratteln, baselland, switzerland";"29"
"713";"abingdon, n/a, united kingdom";"49"
"714";"austin, texas, usa";NULL
"717";"spring hill, florida, usa";NULL
"720";"washington dc, dc, usa";"16"
"724";"jamestown, california, usa";NULL
"726";"eatontown, new jersey, usa";"31"
"728";"welsh, louisiana, usa";NULL
"730";"albuquerque, new mexico,";"69"
"735";"cortland, new york, usa";"29"
"736";"trebur, hessen, germany";"34"
"737";"albuquerque, new mexico, usa";NULL
"739";"oakdale, minnesota, usa";"55"
"741";"novinger, missouri, usa";"16"
"743";"moraga, california, usa";NULL
"744";"ocala, florida, usa";"48"
"746";"longmont, colorado, usa";"36"
"753";"stockton, california, usa";NULL
"756";"scranton, pennsylvania, usa";NULL
"757";"philadelphia, pennsylvania, usa";"29"
"758";"duesseldorf, n/a, germany";NULL
"759";"primm springs, tennessee, usa";NULL
"763";"oakland, california, usa";NULL
"765";"york, pennsylvania, usa";NULL
"767";"omaha, nebr,";"43"
"769";"birmingham, alabama, usa";NULL
"771";"ft. sill, oklahoma, usa";"38"
"774";"wentzville, missouri, usa";"16"
"776";"auckland, n/a, new zealand";"23"
"777";"portland, ,";"13"
"778";"bradenton, florida, usa";NULL
"780";"woodland hills, california, usa";NULL
"782";"hallandale, florida, usa";"57"
"785";"burbank, california, usa";NULL
"786";"panhandle, texas, usa";"48"
"790";"chilliwack, british columbia, canada";NULL
"791";"sunnyvale, california, usa";NULL
"795";"edinburg, texas, usa";NULL
"799";"albuquerque, new mexico, usa";NULL
"805";"sonoma, california, usa";"34"
"809";"commack, new york, usa";"36"
"811";"zurich, n/a, switzerland";"34"
"818";"selangor, southeast asia, malaysia";NULL
"819";"deer park, new york, usa";NULL
"822";"chesterfield, england, united kingdom";"25"
"824";"albuquerque, new mexico, usa";"15"
"827";"mason city, iowa, usa";NULL
"828";"albuquerque, new mexico, usa";"35"
"834";"rockville, maryland, usa";"17"
"835";"collegno, piemonte, italy";"35"
"843";"deer lodge, tennessee, usa";"25"
"848";"värmdö, n/a, sweden";NULL
"849";"seattle, washington, usa";NULL
"850";"bremen, bremen, germany";"22"
"853";"chesterfield, michigan, usa";"24"
"861";"san francisco, california, usa";NULL
"876";"hanover, massachusetts, usa";"33"
"878";"douglasville, georgia, usa";NULL
"882";"berkeley, california, usa";"23"
"883";"brookfield, connecticut, usa";"43"
"885";"jacksonville, texas, usa";NULL
"886";"bozeman, montana, usa";NULL
"887";"castaic, california, usa";"30"
"895";"geelong, victoria, australia";"40"
"896";"-, wales, united kingdom";"27"
"899";"bielefeld, nordrhein-westfalen, germany";"23"
"900";"scranton, pennsylvania, usa";"25"
"901";"worcester, worcestershire, united kingdom";"21"
"902";"overland, missouri, usa";"18"
"903";"los angeles, california, usa";"19"
"913";"manchester, lancs, united kingdom";"44"
"914";"griesheim, hessen, germany";"51"
"915";"humble, texas, usa";"50"
"916";"brisbane, queensland, australia";"38"
"919";"madrid, madrid, spain";"65"
"921";"osnabr?ck, niedersachsen, germany";NULL
"924";"grenoble, isere, france";"29"
"929";"king of prussia, ,";"36"
"932";"san francisco, california, usa";"1"
"933";"crewe, england, united kingdom";"29"
"936";"socorro, new mexico, usa";"24"
"937";"le houlme, normandie, france";"31"
"938";"calgary, alberta, canada";"55"
"941";"bend, oregon, usa";NULL
"944";"toronto, ontario, canada";"26"
"945";"salerno, campania, italy";"23"
"951";"aglaura, new jersey, usa";NULL
"955";"harrisburg, ,";NULL
"965";"las cruces, new mexico, usa";"24"
"967";"belem, para, brazil";"31"
"969";"river forest, illinois, usa";"13"
"970";"sydney, new south wales, australia";"15"
"973";"eugene, oregon, usa";NULL
"974";"waterford, ,";"36"
"981";"new york, new york, usa";NULL
"984";"college station, texas, usa";NULL
"986";"alexandria, virginia, usa";NULL
"989";"san antonio, texas, usa";"33"
"996";"bellefonte, pennsylvania, usa";NULL
"998";"champs sur marne, île de france, france";NULL
"999";"newark, delaware, usa";"21"
"1000";"teramo, abruzzo, italy";"34"
"1003";"tequesta, florida, usa";NULL
"1007";"schaumburg, illinois, usa";"16"
"1008";"boston, massachusetts, usa";NULL
"1009";"delano, minnesota, usa";"56"
"1010";"silver spring, maryland, usa";"26"
"1011";"vancouver, british columbia, canada";"52"
"1012";"covington, louisiana, usa";NULL
"1016";"clementon, new jersey, usa";NULL
"1017";"l?neburg, niedersachsen, germany";"35"
"1019";"san diego, california, usa";NULL
"1021";"rowland, north carolina, usa";NULL
"1022";"newport news, virginia, usa";NULL
"1024";"charles town, west virginia, usa";NULL
"1025";"maidstone, england, united kingdom";"33"
"1026";"duluth, minnesota, usa";NULL
"1031";"sparks, maryland, usa";"52"
"1032";"lockhart, texas, usa";NULL
"1038";"dallas, texas, usa";"26"
"1040";"los angeles, california, usa";NULL
"1043";"parma, emilia romagna, italy";NULL
"1046";"perth, western australia, australia";NULL
"1048";"oakville, ontario, canada";"22"
"1054";"burnsville, minnesota, usa";"37"
"1056";"santa cruz de tenerife, canarias, spain";"35"
"1057";"norwich, norfolk, united kingdom";"19"
"1060";"lincoln, nebraska, usa";"38"
"1063";"edmonton, alberta, canada";"19"
"1064";"worthing, west sussex, united kingdom";"45"
"1069";"troutdale, oregon, usa";NULL
"1075";"hurst, texas, usa";"49"
"1079";"eugene, oregon, usa";NULL
"1082";"rochester, washington, usa";"36"
"1083";"newport news, virginia, usa";NULL
"1084";"mt vernon, illinois, usa";NULL
"1087";"birmingham, alabama, usa";"46"
"1089";"perry, florida, usa";"22"
"1093";"needham, massachusetts, usa";NULL
"1094";"largo, florida, usa";"18"
"1095";"hennef, nrw, germany";NULL
"1096";"arvada, colorado, usa";"18"
"1098";"astoria, new york, usa";NULL
"1100";"saskatoon, saskatchewan, canada";"24"
"1106";"detmold, nordrhein-westfalen, germany";"41"
"1108";"fairbanks, alaska, usa";NULL
"1111";"london, ontario, canada";NULL
"1113";"richmond, missouri, usa";"22"
"1116";"calgary, alberta, canada";"29"
"1118";"cleveland, , usa";NULL
"1123";"lasalle, quebec, canada";"23"
"1124";"brooklyn, new york, usa";NULL
"1129";"bothell, washington, usa";"53"
"1131";"berkeley, ,";"22"
"1132";"tigard, oregon, usa";NULL
"1133";"kingswood, south australia, australia";"46"
"1137";"zaragoza, schleswig-holstein, spain";"25"
"1138";"ann arbor, michigan, usa";NULL
"1140";"bridgewater, new jersey, usa";"19"
"1150";"jericho, vermont, usa";"25"
"1155";"smyrna, georgia, usa";"22"
"1161";"brier, washington, usa";NULL
"1164";"woburn, massachusetts, usa";"35"
"1166";"nantes, loire-atlantique, france";"22"
"1167";"milwaukee, wisconsin, usa";"25"
"1168";"bergisch gladbach ( bensberg), nordrhein-westfalen, germany";"20"
"1169";"olympia, washington, usa";"27"
"1170";"wauwatosa, wisconsin, usa";"17"
"1172";"bielefeld, nordrhein-westfalen, germany";"26"
"1174";"oviedo, asturias, spain";"32"
"1178";"heidelberg, baden-wuerttemberg, germany";"9"
"1180";"storrs, connecticut, usa";"23"
"1184";"la mirada, california, usa";"38"
"1189";"n?rnberg, bayern, germany";"39"
"1192";"klang, selangor, malaysia";"27"
"1193";"none, piemonte, italy";"28"
"1200";"westfield, new jersey, usa";NULL
"1206";"stuttgart, baden-w?rttemberg, germany";NULL
"1210";"new york, new york, usa";NULL
"1211";"rennes, bretagne, france";"22"
"1214";"speicher, rheinland-pfalz, germany";"30"
"1219";"taiping, perak, malaysia";"17"
"1223";"orlando, florida, usa";NULL
"1225";"lombard, illinois, usa";"22"
"1231";"christchurch, n/a, new zealand";"13"
"1233";"ravenna, emilia romagna, italy";"27"
"1234";"barbera del valles, barcelona, spain";"25"
"1235";"salt spring island, british columbia, canada";NULL
"1237";"valencia, valencia, spain";"21"
"1238";"christchurch, canterbury, new zealand";"42"
"1242";"edmonton, alberta, canada";"25"
"1248";"dixon, california, usa";NULL
"1249";"surrey, british columbia, canada";NULL
"1250";"arlington, virginia, usa";"44"
"1252";"la, california, usa";NULL
"1254";"16605 bennington ct, indiana, usa";"26"
"1256";"ottawa, ontario, canada";NULL
"1258";"st. paul, minnesota, usa";"18"
"1259";"whistler, british columbia, canada";"29"
"1260";"campinas, sao paulo, brazil";"17"
"1261";"el paso, texas, usa";"46"
"1262";"roseland, new jersey, usa";"39"
"1263";"wiesbaden, hessen, germany";"23"
"1264";"antelope, california, usa";NULL
"1266";"island lake il., illinois, usa";"19"
"1267";"salem, oregon, usa";NULL
"1270";"hartford, connecticut, usa";"33"
"1275";"perth, western australia, australia";NULL
"1279";"long beach, california, usa";NULL
"1281";"london, england, united kingdom";"32"
"1293";"haddon twp, new jersey, usa";NULL
"1294";"victoria, british columbia, canada";NULL
"1296";"temple, new hampshire, usa";NULL
"1297";"los gatos, california, usa";"30"
"1300";"wauwatosa, wisconsin, usa";"37"
"1303";"troy, michigan, usa";"56"
"1309";"walker, louisiana, usa";"28"
"1314";"monza, lombardia, italy";"48"
"1317";"torrance, california, usa";"63"
"1324";"meggett, south carolina, usa";NULL
"1325";"abano terme, veneto, italy";NULL
"1326";"firenze, toscana, italy";"37"
"1330";"swisttal, nordrhein-westfalen, germany";NULL
"1331";"lisboa, n/a, portugal";"32"
"1332";"dallas, texas, usa";NULL
"1334";"birmingham, england, united kingdom";"32"
"1343";"bishop auckland, england, united kingdom";"33"
"1344";"new york, new york, usa";NULL
"1345";"tallahassee, florida, usa";NULL
"1348";"sacramento, california, usa";"43"
"1355";"roseville, minnesota, usa";"71"
"1359";"houston, texas, usa";"14"
"1360";"north hollywood, california, usa";"36"
"1361";"wiesbaden, hessen, germany";NULL
"1368";"hopewell, virginia, usa";"22"
"1369";"cobble hill, , canada";NULL
"1372";"frankfurt, hessen, germany";"34"
"1375";"dinwiddie, virginia, usa";"59"
"1376";"peoria, illinois, usa";NULL
"1377";"swansea, massachusetts, usa";"20"
"1378";"torino, piemonte, italy";"37"
"1389";"trenton, michigan, usa";"22"
"1390";"greymouth, greymouth, new zealand";"36"
"1395";"santa monica, california, usa";NULL
"1396";"santa barbara, california, usa";"35"
"1398";"berkeley, california, usa";NULL
"1399";"york, maine, usa";"41"
"1403";"virginia beach, virginia, usa";"26"
"1409";"farmington hills, michigan, usa";"74"
"1410";"amherst, new york, usa";"22"
"1412";"winston-salem, north carolina, usa";"47"
"1416";"widnes, cheshire, united kingdom";"25"
"1417";"fort collins, colorado, usa";NULL
"1421";"leioa, vizcaya, spain";"55"
"1424";"north avoca, new south wales, australia";NULL
"1427";"mililani, hawaii, usa";"22"
"1433";"woodbridge, california, usa";"54"
"1434";"bethel, vermont, usa";NULL
"1435";"st. louis, missouri, usa";"36"
"1436";"sault ste. marie, ontario, canada";NULL
"1439";"tilley, alberta, canada";NULL
"1442";"paris, ile de france, france";"36"
"1448";"la mesa, california, usa";"61"
"1455";"chehalis, washington, usa";NULL
"1461";"kolding, none, denmark";"0"
"1466";"cologne, nordrhein-westfalen, germany";"28"
"1467";"dallas, texas,";NULL
"1469";"santiago, santiago, chile";"59"
"1473";"new york, new york, usa";NULL
"1475";"new york city, new york, usa";NULL
"1477";"winfield, pennsylvania, usa";NULL
"1484";"eastbourne, england, united kingdom";"28"
"1485";"allendale, new jersey, usa";"30"
"1486";"montmorency, victoria, australia";"75"
"1487";"saint paul, minnesota, usa";"23"
"1489";"somerville, massachusetts, usa";"20"
"1490";"richmond hill, ontario, canada";NULL
"1491";"sheffield, england, united kingdom";"22"
"1496";"seattle, washington, usa";"31"
"1499";"lawrence, kansas, usa";NULL
"1500";"brighton, england, united kingdom";NULL
"1502";"sf, california, usa";NULL
"1504";"iowa city, iowa, usa";NULL
"1505";"nottingham, england, united kingdom";"25"
"1506";"dortmund, nordrhein-westfalen, germany";"21"
"1511";"cuyahoga falls, ohio, usa";"25"
"1513";"oak hill, virginia, usa";"40"
"1515";"bloomington, indiana, usa";"27"
"1517";"barcelona, barcelona, spain";"32"
"1519";"raleigh, north carolina, usa";"61"
"1521";"washington, d.c., dc, usa";NULL
"1530";"hartsdale, new york, usa";"26"
"1533";"chateauguay, quebec, canada";NULL
"1535";"virginia beach, virginia, usa";"69"
"1539";"calgary, alberta, canada";NULL
"1541";"köln, nordrhein-westfalen, germany";"25"
"1543";"san jose, san jose, costa rica";NULL
"1545";"firenze, toscana, italy";"21"
"1546";"overland, missouri,";"40"
"1547";"overland, missouri, usa";NULL
"1548";"brooklyn, new york, usa";"28"
"1550";"des moines, washington, usa";NULL
"1552";"donostia, gipuzkoa, basque country";"32"
"1554";"lincoln, nebraska, usa";"29"
"1555";"buena park, california, usa";NULL
"1556";"tucson, arizona, usa";NULL
"1557";"bloomington, indiana, usa";"32"
"1558";"normal, illinois, usa";"61"
"1559";"manchester, new hampshire, usa";NULL
"1564";"provo, utah, usa";NULL
"1567";"romney, west virginia, usa";"57"
"1569";"boston, massachusetts, usa";NULL
"1570";"brooklyn, new york, usa";"28"
"1573";"owings mills, maryland, usa";NULL
"1578";"st. albert, alberta, canada";"23"
"1582";"san francisco, california, usa";"48"
"1583";"san francisco, california, usa";"48"
"1585";"albuquerque, new mexico, usa";"29"
"1586";"north muskegon, michigan, united kingdom";"14"
"1588";"lewisham, london, united kingdom";NULL
"1589";"clio, michigan,";"50"
"1591";"flensburg, schleswig-holstein, germany";"24"
"1596";"jackson, tennessee, usa";"51"
"1597";"west columbia, texas, usa";"23"
"1599";"leeds, west yorkshire, united kingdom";NULL
"1608";"collingswood, new jersey, usa";"27"
"1610";"charlotte, north carolina, usa";NULL
"1615";"vienna, n/a, austria";"30"
"1616";"marietta, georgia, usa";NULL
"1617";"chicago, illinois, usa";"24"
"1618";"addis ababa, ethiopia, ethiopia";"21"
"1619";"visalia, california, usa";NULL
"1633";"brooklyn, new york, usa";"29"
"1639";"jacksonville, florida, usa";NULL
"1641";"winston salem, north carolina, usa";"22"
"1643";"perth, western australia, australia";"24"
"1646";"dieburg, hessen, germany";"19"
"1650";"victoria, british columbia, canada";NULL
"1652";"new york, new york, usa";NULL
"1653";"madrid, delaware, spain";"17"
"1654";"silver spring, maryland, usa";NULL
"1660";"fort worth, texas, usa";NULL
"1661";"marcellus, new york, usa";"60"
"1664";"chattonoga, georgia, usa";"14"
"1667";"roma, lazio, italy";NULL
"1672";"north east, pennsylvania, usa";"18"
"1673";"brisbane, queensland, australia";"23"
"1674";"minneapolis, minnesota, usa";"26"
"1676";"ottawa, ontario, canada";NULL
"1683";"chico, california, usa";"46"
"1684";"ucluelet, british columbia, canada";NULL
"1687";"champaign, illinois, usa";"47"
"1688";"chelmsford, england, united kingdom";"53"
"1696";"las palmas gc, las palmas, spain";"34"
"1703";"barcelona, catalunya, spain";"19"
"1705";"plano, texas, usa";"32"
"1706";"olympia, washington, usa";"26"
"1718";"framingham, massachusetts, usa";"28"
"1719";"sg, sg, singapore";NULL
"1721";"windsor, ontario, canada";"21"
"1723";"danbury, connecticut, usa";"40"
"1725";"palma, illes balears, united kingdom";"25"
"1729";"toronto, ontario, canada";"55"
"1730";"el paso, texas, usa";"33"
"1733";"independence, west virginia, usa";"30"
"1745";"cedar rapids, iowa, usa";NULL
"1750";"perugia, umbria, italy";"43"
"1759";"hollywood, florida, usa";"29"
"1761";"hartford, wisconsin, usa";NULL
"1762";"prato, toscana, italy";NULL
"1765";"london, england, united kingdom";"37"
"1768";"newington, connecticut, usa";"25"
"1770";"hellin, albacete, spain";"34"
"1773";"northridge, california, usa";"16"
"1775";"albuquerque, new mexico, usa";"14"
"1781";"leipzig, sachsen, germany";"32"
"1782";"woodland hills, california, usa";NULL
"1785";"toulouse, haute-garonne, france";"26"
"1790";"chicago, illinois, usa";"25"
"1791";"harrisburg, pennsylvania, usa";NULL
"1792";"hutchinson, kansas, usa";NULL
"1793";"coquitlam, british columbia, canada";"26"
"1797";"paris, paris, france";NULL
"1799";"bolzano, trentino alto adige, italy";NULL
"1802";"lake luzerne, new york, usa";"43"
"1803";"northville, new york, usa";"48"
"1805";"euless, texas, usa";NULL
"1807";"frankfurt, hessen, germany";NULL
"1809";"bucharest, n/a, romania";"33"
"1812";"provo, utah, usa";"24"
"1813";"ottawa, ontario, canada";NULL
"1827";"alverca do ribatejo, lisboa, portugal";NULL
"1829";"victoria, british columbia, canada";NULL
"1830";"kidderminster, worcestershire, england, united kingdom";"54"
"1835";"kuala lumpur, n/a, malaysia";NULL
"1838";"glens falls, new york, usa";NULL
"1841";"washington dc, dc, usa";NULL
"1844";"kiel, n/a, germany";"36"
"1846";"strasbourg, alsace, france";"25"
"1848";"bellingham, washington, usa";"22"
"1850";"sydney, nsw, australia";"3"
"1859";"sackville, new brunswick, canada";NULL
"1861";"houston, texas, usa";NULL
"1863";"feucht, bayern, germany";"43"
"1867";"chelsea, michigan, usa";NULL
"1869";"westfield, massachusetts, usa";"21"
"1878";"`s-hertogenbosch, noord brabant, netherlands";NULL
"1881";"binghamton, new york, usa";"31"
"1888";"toronto, ontario, canada";NULL
"1891";"canyon city, oregon, usa";NULL
"1892";"fort wayne, indiana, usa";"47"
"1898";"waukegan, illinois, usa";"47"
"1900";"kent, ohio, usa";"51"
"1901";"vancouver, british columbia, canada";NULL
"1903";"hualien, taiwan, taiwan";"36"
"1904";"canberra, australian capital territory, australia";NULL
"1905";"baton rouge, louisiana, usa";NULL
"1910";"vigo, galicia, spain";"0"
"1915";"louisville, kentucky, usa";NULL
"1918";"london, england, united kingdom";"23"
"1921";"lisboa, abruzzo, portugal";NULL
"1922";"daly city, ,";NULL
"1923";"beaufort, victoria, australia";NULL
"1924";"irvine, california, usa";NULL
"1927";"salem, oregon, usa";"20"
"1928";"kansas city, missouri, usa";"17"
"1930";"palencia, n/a, spain";"22"
"1933";"honolulu, hawaii, usa";NULL
"1937";"bozeman, montana, usa";"42"
"1938";"new york, new york, usa";NULL
"1945";"wrightsville beach, north carolina, usa";"54"
"1947";"ottawa, ontario, canada";NULL
"1948";"acworth, georgia, usa";"34"
"1949";"wilmington, north carolina, usa";NULL
"1951";"karlsruhe, baden-w?rttemberg, germany";"28"
"1954";"brighton, england, united kingdom";"36"
"1956";"rotterdam, n/a, netherlands";NULL
"1960";"grosseto, toscana, italy";"57"
"1961";"grand rapids, michigan, usa";"17"
"1963";"perth, western australia, australia";"24"
"1965";"augsburg, bayern, germany";"31"
"1966";"burgos, burgos, spain";NULL
"1969";"paris, paris, france";"25"
"1971";"ames, iowa, usa";"25"
"1973";"mortara pv, lombardia, italy";NULL
"1978";"saint louis, missouri, usa";NULL
"1983";"noreña, asturias, spain";"26"
